aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,location,date,pollution_level
3,634.19,9.5,117.9,0.01,19.31,21.08,38.52,4.81,Los Angeles,2024-08-07,Moderate
3,427.25,2.91,93.22,6.71,35.29,12.33,15.64,2.57,Tokyo,2024-08-07,Moderate
2,350.48,0.11,0.57,62.94,1.64,4.35,9.79,5.0,Antananarivo,2024-08-07,Fair
3,907.9,0.29,5.06,97.28,8.58,25.8,56.98,19.0,Nairobi,2024-08-07,Moderate
1,283.72,0.0,9.94,38.27,10.25,5.3,14.25,2.22,Lima,2024-08-07,Good
3,634.19,9.5,117.9,0.01,19.31,21.08,38.52,4.81,Los Angeles,2024-08-07,Moderate
3,427.25,2.91,93.22,6.71,35.29,12.33,15.64,2.57,Tokyo,2024-08-07,Moderate
2,350.48,0.11,0.57,62.94,1.64,4.35,9.79,5.0,Antananarivo,2024-08-07,Fair
3,907.9,0.29,5.06,97.28,8.58,25.8,56.98,19.0,Nairobi,2024-08-07,Moderate
1,283.72,0.0,9.94,38.27,10.25,5.3,14.25,2.22,Lima,2024-08-07,Good
